"@ANI_news kudos to @Indiapnb 
Other banks like @TheOfficialSBI @bankofbaroda @AxisBank @HDFCBank_Cares @ICICIBank_Care should also wake up",displeasure
"@mediacrooks @arunjaitley 
@Indiapnb installed Mobile ATM at AIIMS
what @TheOfficialSBI @bankofbaroda etc doing 
@RBI",miscellaneous
Bank employees working on bank holiday without complaining. Kudos to them. @TheOfficialSBI @Indiapnb,compliment
"@DasShaktikanta @adhia03 but sir, what proof required in case of foreigners ? @bankofbaroda @Indiapnb @RajivBLall",miscellaneous
"@TheOfficialSBI @Indiapnb @AxisBank @narendramodi ATM dispensing out 100,50, 20,10 could help fight lack of change crisis. #bannedcurrency",miscellaneous
@TheOfficialSBI  @Indiapnb @IDBI_Bank @AxisBank @Allahabad_Bank @ICICIBank I am a  PG student and willing to work for free for next two days,compliment
RT @FaizanVakeel: @TheOfficialSBI  @Indiapnb @IDBI_Bank @AxisBank @Allahabad_Bank @ICICIBank I'm PG student and willing to work for free fo,miscellaneous
@Indiapnb @ICICIBank @IDBI_Bank @bankofbaroda @TheOfficialSBI @HDFC_Bank ATMs not working in #DCChowk @narendramodi @Gupta_vijender,miscellaneous
@ICICIBank @Indiapnb @YESBANK @MyIndusIndBank @StanChart @KotakBankLtd @TheOfficialSBI not a single atm is wrking sec 53 guru gram @RBI,displeasure
whole staff going for lunch ..is it valid in banks ? @TheOfficialSBI @PNBMetlife1 @centralbank_in @RBI @narendramodi @arunjaitley,displeasure
No #atm of @sbi @mdpnb @ICICIBank_Care is working in #kolar area of #Bhopal till now,displeasure
"Requestimg all banks to help senior citizens &amp; poor, uneducated people
@TheOfficialSBI @ICICIBank_Care @mdpnb https://t.co/yseaBqZZMz",miscellaneous
"#ATMs   satiating the hunger, assuring the people. Great job @FinMinIndia , @TheOfficialSBI @ICICIBank @mdpnb @canarabanktweet @AxisBank",compliment
"@RBI @TheOfficialSBI @mdpnb request to operationalise #ATMs at earliest, it ll relieve pressure on needy",miscellaneous
"RT @TrustingINDIA: @TheOfficialSBI @AxisBank @mdpnb @HDFCBank_Cares @FinMinIndia
Regards
No ATMsPin code 491-228 has cash
@PMOIndia http",miscellaneous
@TheOfficialSBI @mdpnb @RBI @ICICIBank @HDFC_Bank @AxisBank @YESBANK @bankofbaroda if you need temp or perm employee pls contact me . Thanks,miscellaneous
Hope that banks find a solution. Should adopt token system to regulate long queues.@RBI @TheOfficialSBI @mdpnb https://t.co/zcJmjloBr9,miscellaneous
#___ @mdpnb @TheOfficialSBI @AxisBank @ICICIBank_Care . All bank want to personally distribute money. #atmshutdown,displeasure
"I have visited more then 20 #ATMs , no one is in Working Condition.. Use #ATMsNotWorking and tell govt . @mdpnb @IDBI_Bank @TheOfficialSBI",displeasure
Not a single ATM functional in / near Vashi &amp; Thane Rly stations @ICICIBank @HDFC_Bank @TheOfficialSBI @mdpnb @RBI,displeasure
RT @KAMALsSUTRA: @RitaG74 @TheOfficialSBI @ICICIBank_Care @mdpnb @VijayaBankIndia @HDFC_Bank even I saw this gesture in almost all SHIMLA B,miscellaneous
@mdpnb @TheOfficialSBI @bankofbaroda Why does some of your ATMs have multiple air conditioners?,miscellaneous
@RBI @AxisBank @ICICIBank @TheOfficialSBI @mdpnb  Same situation in evening too.. Making fool of people.. ATM is not working still,displeasure
"Today Not a single new Money in any bank atm in Palam, New Delhi @ICICIBank @AxisBank @mdpnb @HDFC_Bank @TheOfficialSBI",displeasure
@ICICIBank @TheOfficialSBI @mdpnb  @IDBI_Bank @RBI @HDFC_Bank @AxisBank 3 cheers to All Banks who are tirelessly  helping customers. .. ,compliment
RT @MobiKwik: Convert your @TheOfficialSBI or @mdpnb debit card points into MobiKwik wallet #cash! Click https://t.co/nsk2RPKgku https://t.,compliment
@narendramodi @arunjaitley @rajnathsingh  plz arrange to increase no. Of cash counters in banks @TheOfficialSBI @ICICIBank @mdpnb @AxisBank,miscellaneous
@RBI @narendramodi @AxisBank @TheOfficialSBI @mdpnb @ICICIBank @PMOIndia No proper planning and action plan on ATM is clearly visible.,displeasure
Despite the order @FinMinIndia order #ATMs of @TheOfficialSBI &amp; @mdpnb r closd. @PMOIndia @FinMinIndia https://t.co/rfuIzGENsH,miscellaneous
Checked one ATM each of @TheOfficialSBI &amp; @mdpnb in #Palakkad #kerala No cash in it @RBI #DeMonetisation,displeasure
@TheOfficialSBI @mdpnb being an advocate wants to thnks all staff of all the banks for their effortless support for public. Love to support,compliment
I would like to thanks all bank employees for working so late and helping us. @TheOfficialSBI  @AxisBank @RBI @ICICIBank @mdpnb @HDFC_Bank,compliment
@ravi4354 @arunjaitley @TheOfficialSBI @mdpnb @sbbj_bank @ICICIBank Hi ICICi bank.Any such respite for ICICI senior citizen A/C holders pls?,miscellaneous
@PMOIndia @narendramodi @FinMinIndia @RBI ATMs of all banks r closed in Kanpur.v need  @TheOfficialSBI @AxisBank @bankofbaroda @mdpnb,displeasure
ATM of @TheOfficialSBI &amp; @mdpnb r closed despite govt order @FinMinIndia @DasShaktikanta https://t.co/6eawgOgrd1,displeasure
"@mdpnb @TheOfficialSBI and really sad to saw the negative reporting by Media's not showing ur and ur staff effort ,just coz of TRP.",compliment
@IamNAVED @RBI @AxisBank @ICICIBank @TheOfficialSBI @mdpnb sir please load at least 100rs notes whr we can see some ease,miscellaneous
All the best to all the employees of bank. You have to face hectic schedule. @TheOfficialSBI @pnb @AxisBank @bankofbaroda @RBI #newnote ,compliment
