"@ICICIBank_Care Bank employees of 21 c Faridabad making fools to customers. Not helping &amp; giving nonsense excuses.
Better to learn from",displeasure,
@AxisBankSupport 18..233.... is permanently busy. 18..209.... &amp; 18..103.... cannot go beyond language selection.What kind of support is this,displeasure,
"@TheOfficialSBI 3 hours in line,still waiting. Wish ur staff cld work more efficiently.",displeasure,
@HDFCBank_Cares Both the ATM machines here in Times of India Noida office unable to dispense the cash. Please resolve it ASAP @sanatm,displeasure,
@ICICIBank Thanks icici bank I got case in your atm and it's totally bad experience with @TheOfficialSBI,miscellaneous,
"@RBI In Assam all banks are exchanging 4000/- once only. If exchanged  yesterday, today refused by banks. Kindly interven @TheOfficialSBI",displeasure,
@KotakBankLtd Mahim branch. Today handled very well.Great job,compliment,
@TheOfficialSBI danish kunj branch in bhopal is not open till 10AM,miscellaneous,
@TheOfficialSBI  It is very difficult rather impossible,miscellaneous,
"@ICICIBank_Care @ajitsinghs   why is @ICICIBank m block , Gk2 not allowing non gk 2, non wealth customers not to exchange notes.",displeasure,
@HDFC_Bank @HDFCBank_Cares received an email saying all atm withdrawals at hdfc would be free.. Appreciate the support extended. Thank you..,compliment,
RT @bankofbaroda: Shop the best for your kids at #FirstCry. Get Rs. 500/- off when you pay using your #Baroda #Visa Debit Card. https://t.c,miscellaneous,
"@HDFCBank_Cares the ATM at Sector-8, Charkop, Kandivali-W, Mumbai has been out of service for months now...please fix it now at least",displeasure,
"@KotakBankLtd the papers on web portals like readwhere are easy to read.
But @bsindia epaper opens separate windows ..not easy to read",miscellaneous,
RT @Pankushjindal: @bankofbaroda Sir Recently i open a bank account and i just need to know that In which bank can i use ATM OF this bank?,miscellaneous,
@saket71 @TheOfficialSBI @narendramodi @Shehla_Rashid @tejujoshi31 No cash in ATMs https://t.co/ZT93IpLhG2,displeasure,
"RT @TheOfficialSBI: Enjoy the ease, convenience &amp; safety of #sbiInTouchTapAndGoDebitCard that allows you to simply wave your Card for makin",miscellaneous,
"@ICICIBank_Care @HDFCBank_Cares @AxisBank #nomoney in your ATM at Chandivali-Powai Mumbai. 
@powaiinfo",displeasure,
"@ICICIBank_Care we have Ur ATM in our office n 3k employes, today every one was waitin 4 money thr unfortunatly ur guys didn't deposit money",displeasure,
@ICICIBank_Care Sec56 branch continues to disappoint. Check RBI notice vs their overwriting. Worked from 9-4. Threa https://t.co/6sLHq8FM6m,displeasure,
"@ICICIBank_Care if I am nominating the same person as a mandate holder for NRE&amp;NRO accts, why require the same docs twice? What's the logic?",displeasure,
RT @Tarun260: Thanks to @HDFC_Bank @HDFCBank_Cares mgmt 4 mkng exchnge n dpst process vry smooth at Vaishali branch. Grt people dealing tha,compliment,
"@RBI @HDFC_Bank @HDFCBank_Cares  @HDFCBankNews  ATMs at Kamothe, Navi Mumbai not working-all of them.",displeasure,
"@narendramodi, @HDFC_Bank &amp; @TheOfficialSBI  are doing good work. A security  guard @HDFC_Bank offered water to peo https://t.co/z6ljpISuVi",compliment,
@HDFCBank_Cares Thanks i have got the mail from the payzapp team,compliment,
"@Aryanwarlord this is deposit, not ""capital"". @TheOfficialSBI @sunil_malpotra",miscellaneous,
@KotakBankLtd @udaykotak #kalinabranch very good organised work by Mr Shashi and staff as well as Kalpesh domadia! Keep it up!!! Cheers,compliment,
@narendramodi @PMOIndia @KotakBankLtd Service manager claims that non-kotak account holders cannot exchange cash be https://t.co/agyhDL9mFT,displeasure,
@bankofbaroda Do a few things NOW!!- track individuals making deposits across banks; stop proxy deposits; link all banks; stop paper records,displeasure,
@TheOfficialSBI But I am a disabled by both legs was told that u cant deposit cash for online transaction of our other branches by your 2,miscellaneous,
"@vikramwkarve @TheOfficialSBI @RBI @PMOIndia @FinMinIndia clean up, modi from pm post, or clean up, cash.",miscellaneous,
@HDFCBank_Cares Not allowed to withdraw balance 10k from my account. Your Surendranagar (Guj) branch is citing some https://t.co/bAMb9NXqnW,displeasure,
@ICICIBank_Care @ICICIBank bank not taking deposit after 4 p.m.  as secular is up to 8 p.m..this is in @kapadwanj icici branch,displeasure,
RT @Chhabiy: .@arunjaitley Sir @TheOfficialSBI ATMs not open till 10a.m. today in greater noida west,displeasure,
@TheOfficialSBI But it says that I can't register complaint due to incorrect details . Don't understand. Contact me plz,displeasure,
@HDFCBank_Cares @HDFC_Bank receiving #scam #phishing calls frm Delhi +918750029887 for CVV @RBI @DelhiPolice @CybercrimeCID pls take action,displeasure,
... providing all required information. #HarBarModiSarkar @KotakBankLtd thank you. Pleasure being your customer. Cheers and keep it up,compliment,
"No #money in pocket, and lack of money #ATMs of @ICICIBank &amp; @TheOfficialSBI , @PMOIndia please help #urgent need.",displeasure,
@TheOfficialSBI  thank you for the new note,compliment,
"First hand exp as a customer - in 40 min, have moved 1 meter in te queue. Staff of @KotakBankLtd extremely helpful. +",compliment,
RT @MindSphere_IN: @HDFCBank_Cares will there be new notes @ Halasuru Branch today?,miscellaneous,
@AmhiDombivlikar @HDFC_Bank @ICICIBank @TheOfficialSBI @IDBI_Bank @DnsBank - have you notified @RBI ? @vineetjaintimes,miscellaneous,
@TheOfficialSBI is your web page down.It wasn't loading showing HTTP Server Error 503,miscellaneous,
@TheOfficialSBI 's response basically sums up our linguistic issues. https://t.co/3AkDogTuFl,miscellaneous,
@ICICIBank_Care finally today I have withdrawn my application for current account..@chandakochhar is this ur service?????,displeasure,
@TheOfficialSBI aappreciate your efforts but you missed on good planning. Pls chk ground reality @arunjaitley @PMOIndia,displeasure,
@ICICIBank_Care why there's mismatch in bank opening timings? If it's a notice from ICICI shouldn't it be same throughout ? (2/2),displeasure,
"@TheOfficialSBI contact your mdnbg,chairman and cvo",miscellaneous,
Thanks @KotakBankLtd for such a wonderful management. Thanks to all of your employees https://t.co/Q8ZbvAtEk2,compliment,
"Why don't you tag @ICICIBank_Care 
Instead of blaming the govt for smin they didn't do? 

No proof reqd if you hv b https://t.co/mSWIWuouPB",miscellaneous,
@HDFCBank_Cares my account no. is 00031050321224 and mobile no. 9999705992,miscellaneous,
@ICICIBank_Care should ask #bluedart co to call the customer plz cancel the card or send it by other courier DM 9831142300,miscellaneous,
@ICICIBank_Care  contact number 9890996007,miscellaneous,
@RBI @HDFCBank_Cares  Withdrawal from my own a/c requires an ID proof (which is OK) + a photocopy of the proof for bank records? Why?,displeasure,
@ICICIBank_Care  and my card got approved on 28 oct. as per data available with your ahmedabad representative.,miscellaneous,
@AxisBank @AxisBankSupport @axisbank275 - including all the accounts,miscellaneous,
"RT @EnggJourno: Maximum queues being seen at PSU #banks such as @TheOfficialSBI, @bankofbaroda. Shows ppl trust their money with govt more",compliment,
RT @indian8money: @AxisBankSupport means u know that u will not revert again I have to ping worrest service  @RBI @arunjaitley @PMOIndia @n,displeasure,
"@peekayteee @AxisBankSupport Hi, We have checked and it is working fine at the moment.In case the issue persists, you can share a(1/2)",miscellaneous,
@bankofbaroda  Please Circulate Rs 100 and Rs 50 Notes to this branch as customer dont want any more 2000 notes Its my kind request CHEMIO,miscellaneous,
@HDFCBank_Cares @RBI @timesofindia still no reply #helpless,displeasure,
@ICICIBank_Care hell with @ICICIBank . Teach your executives at Devlali Camp (Nashik) branch on how to behave with a woman account holder.,displeasure,
@KotakBankLtd @PMOIndia Standing in queue for last 4 hours to get Cheque Withdrawal. As promised no different arrangements. Who to complain,displeasure,
